Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
WN.W1,WN ,,Wmin,8.0,inf,ER0001,
WN.S1,WN,WN,Smin,12.0,inf,ER0104,
WN.S2,WN,WN(R),Smin,9.5,inf,ER0128,
WN.S3,WN,WN(C),Smin,12.0,inf,ER0130,
WN.S4,WN(R),WN(C),Smin,9.5,inf,ER0132,
WN.S5,WN(R),WN(R),Smin,8.0,inf,ER0122,
WN.S6,WN(C),WN(C),Smin,12.0,inf,ER0129,
WN.AP,WN,AP,Smin,5.0,inf,ERWLMN01,
WN.AN,WN,AN,Smin,10.0,inf,ERWLMN03,
AR.W1,AR ,,Wmin/max,2.8,20.0,ERRR07,
AR.S1,AR ,AR,Smin,4.0,inf,ERWLRR03,
AR.WR,AR,WN(R),Emin,10.0,inf,ERWLRR02,
AN.WR,AN,WN(R),Emin,5.0,inf,ERWLRR01,
AR.AN,AR,AN,Smin,4.0,inf,ERWLRR04,
AC.W1,AC,,Wmin/max,28.5,120.0,Table I-2-1,
AC.S1,AC,AC,Smin,???,???,,
AC.WC,AC,WN(C),Emin,???,???,,
AN.WC,AN,WN(C),Emin,3.0,inf,ERCSIO04,
AC.AN,AC,AN,Smin,2.8,inf,ERCSIO11,
AC.R1,AC,AN,Donut,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
AP.W1,AP,,Wmin,1.4,inf,ER0004,
AP.S1,AP,AP,Smin,1.4,inf,ER0028,
AP.AN,AP,AN,Smin,2.8,inf,ERWLMP04,
AP.WM,PMOS,,Wmin/max,3.4,60.0,Table I-2-1,
AP.LM,PMOS,,Lmin/max,1.0,30.0,Table I-2-1,
AP.WN,AP,WN,Emin,7.0,inf,ERWLMP02,
DP.W1,AP,,Wmin,2.8,inf,,
DP.S1,DP,DP,Smin,???,???,???,
DP.AP,DP,AP,Smin,2.8,inf,ERWLMP08,
DP.AN,DP,AN,SMin,2.8,inf,ERWLMP09,
AN.W1,AN,,Wmin,1.4,inf,ER0004,
AN.S1,AN,AN,Smin,1.4,inf,ER0028,
AN.AP,AN,AP,Smin,2.8,inf,ERWLMN05,
AN.WM,NMOS,,Wmin/max,3.4,60.0,Table I-2-1,
AN.LM,NMOS,,Lmin/max,1.0,30.0,Table I-2-1,
AN.WN,AN,WN,Emin,5.0,inf,ERWLMP03,
DN.W1,DN,,Wmin,2.8,inf,,
DN.S1,DN,DN,Smin,???,???,???,
DN.AP,DN,AP,Smin,2.8,inf,ERWLMN10,
DN.AN,DN,AN,Smin,2.8,inf,ERWLMN11,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
PO.W1,PO,,Wmin,1.0,30.0,ER0014,
PO.S1,PO,PO,Smin,1.2,inf,ER0038,
PO.AP,PO,AP,Smin,0.4,inf,ERWLMP07,
PO.AN,PO,AN,Smin,0.4,inf,ERWLMN09,
PO.EM,PO,Endcap,min,1.2,inf,ERMP06/ERMN06,
CO.W1,CO,,Wmin,1.0,inf,ER0020,
CO.S1,CO,CO,Smin,1.0,inf,ER0044,
CO.WD,CO(D),,Wfix,1.2,inf,ERDP05/ERDN05,
CO.AD,CO(D),AP+AN,Emin,1.2,inf,ERDP24/ERDN23,
CO.AP,CO,AP,Emin,0.8,inf,ERMP10,
CO.AN,CO,AN,Emin,0.8,inf,ERMN11,
CO.PG,CO,PO(G),Smin,1.0,inf,ERMP12/ERMN12,
CO.PO,CO,PO,Emin,0.8,inf,ER0050,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
AR.L1,AR,,Lmin/max,13.0,100.0,Table I-2-1,
AR.PO,PO,AR,Smin,1.0,inf,ERRR15,
AR.PW,PO(AR),,Wmin,2.0,inf,ERRR06,
AR.XY,AR,Bevel,XY,1.0,inf,,
PO.L1,PO(AR),,Lmin/max,20.0,200.0,Table I-2-1,
PO.AN,PO(AR),AN,Smin,???,???,,
PO.R1,AR,PO,Donut,,,,
PO.R2,PO,TieDown,,,,,
PR.W1,PO(RS),,Wmin/max,4.0,20.0,Table I-2-1,
PR.L1,PO(RS),,Lmin/max,20.0,100.0,Table I-2-1,
PR.S1,PO(RS),PO(RS),Smin,2.0,inf,ERRS04,
CR.W1,CO(RR),,Wfix,1.0,inf,,
CR.W2,CL(RR),,Wmin/max,1.0,97.5,CO(L),
CR.AT,CO(RR),AR(T),Emin,1.5,inf,,
CR.AS,CO(RR),AR(S),Emin,1.0,inf,,
CC.W1,CO(C),,Wmin,1.2,inf,ERCSIO01,
CC.S1,CO(C),CO(C),Smin,1.2,inf,ERCSIO14,
CC.AC,CO(C),AC,Emin,2.9,inf,ERCSIO03,
CC.AN,CO(C),AN,Emin,1.2,inf,ERCSIO02,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
M1.W1,M1,,Wmin,1.8,inf,ER0021,
M1.S1,M1,M1,Smin,1.4,inf,ER0045,
M1.SC,M1(C),M1(C),Smin,10.0,inf,ERCSIO05,
M1.CO,M1,CO,Fmin,0.8,inf,ER0051,
M1.CC,M1,CO(C),Fmin,1.2,inf,ERCSIO02,
M1.CL,M1,CO(L),Fmin,1.2,inf,ER1305,
M1.WW,M1(W),,Wmin,10.0,inf,ER1402,
M1.SW,M1(W),M1(W),Smin,2.0,inf,ER1402,
V1.W1,V1,,Wfix,1.4,inf,ER0022,
V1.S1,V1,V1,Smin,1.5,inf,ER0046,
V1.M1,V1-M1,M1,Emin,1.0,inf,ER0052,
V1.PO,V1-PO,PO,Smin,1.2,inf,ER1508,
V1.CO,V1-CO,CO,Smin,1.0,inf,ER1506,
V1.CL,V1-CO(L),CO(L),Smin,1.4,inf,ER1507,
M2.W1,M2,,Wmin,3.0,inf,ER0023,
M2.S1,M2,M2,Smin,2.0,inf,ER0047,
M2.V1,M2,V1,Fmin,1.0,inf,ER0052,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name,
WN.Z1,WN,"AP,AC",None,,,,
WN.Z2,WN,"AP,AR",None,,,,
CO.Z1,CO,AP+AN+AR+AC,None,,,,
CO.Z2,CO,PO+PR,None,,,,
CO.Z3,CO,M1,None,,,,
V1.Z1,V1,M1,None,,,,
V1.Z2,V1,M2,None,,,,
