#,Prohibited,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
WN.Z1,WN(R),AP+AC,None,0.0,,
WN.Z2,WN(C),AP+AR,None,0.0,,
CO.Z1,CO,AA+GC+GR,None,0.0,,
CO.Z3,CO,M1,None,0.0,,
V1.Z1,V1,M1,None,0.0,,
V1.Z2,V1,M2,None,0.0,,
PO.Z1,PO,M1,None,0.0,,
PO.Z2,PO,M2,None,0.0,,
PO.Z3,PO,V1(P),Exist,0.0,,
#,WN-AC/AR related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
WN.W1,WN,,Wmin,8.0,,ER0001
WN.S1,WN,WN,Smin,12.0,,ER0104
WN.S2,WN,WN(R),Smin,9.5,,ER0128
WN.S3,WN,WN(C),Smin,12.0,,ER0130
WN.S4,WN(R),WN(C),Smin,9.5,,ER0132
WN.S5,WN(R),WN(R),Smin,8.0,,ER0122
WN.S6,WN(C),WN(C),Smin,12.0,,ER0129
WN.AP,WN,AP,Smin,5.0,,ERWLMN01
WN.AN,WN,AN,Smin,10.0,,ERWLMN03
AR.S1,AR ,AR,Smin,4.0,,ERWLRR03
AR.WR,AR,WN(R),Emin,10.0,,ERWLRR02
AN.WR,AN,WN(R),Emin,5.0,,ERWLRR01
AR.AN,AR,AN,Smin,4.0,,ERWLRR04
AC.W1,AC,,Wmin/max,28.5,120.0,Table I-2-1
AC.S1,AC,AC,Smin,???,???,
AC.WC,AC,WN(C),Emin,???,???,
AN.WC,AN,WN(C),Emin,3.0,,ERCSIO04
AC.AN,AC,AN,Smin,2.8,,ERCSIO11
AC.GC,AC,GC,Emin,1.4,,ERCSIO13
AC.R1,AC,AN(C),Donut,0.0,,
#,AP/AN/DP/DN related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
AP.W1,AP,,Wmin,1.4,,ER0004
AP.S1,AP,AP,Smin,1.4,,ER0028
AP.AN,AP,AN,Smin,2.8,,ERWLMP04
AP.WM,PMOS,AP-GC,Wmin/max,3.4,60.0,Table I-2-1
AP.LM,PMOS,GC-AN,Lmin/max,1.0,30.0,Table I-2-1
AP.WN,AP,WN,Emin,7.0,,ERWLMP02
DP.W1,DP,,Wmin,2.8,,
DP.S1,DP,DP,Smin,???,???,???
DP.AP,DP,AP,Smin,2.8,,ERWLMP08
DP.AN,DP,AN,Smin,2.8,,ERWLMP09
AN.W1,AN,,Wmin,1.4,,ER0004
AN.S1,AN,AN,Smin,1.4,,ER0028
AN.AP,AN,AP,Smin,2.8,,ERWLMN05
AN.WM,NMOS,AN-GC,Wmin/max,3.4,60.0,Table I-2-1
AN.LM,NMOS,GC-AN,Lmin/max,1.0,30.0,Table I-2-1
AN.WN,AN,WN(M),Emin,5.0,,ERWLMP03
DN.W1,DN,,Wmin,2.8,,
DN.S1,DN,DN,Smin,???,???,???
DN.AP,DN,AP,Smin,2.8,,ERWLMN10
DN.AN,DN,AN,Smin,2.8,,ERWLMN11
#,PC/CO related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
GC.W1,GC,,Wmin,1.0,30.0,ER0014
GC.S1,GC,GC,Smin,1.2,,ER0038
GC.AP,GC,AP,Smin,0.4,,ERWLMP07
GC.AN,GC,AN,Smin,0.4,,ERWLMN09
GC.EP,PMOS,GC,ECmin,1.2,,ERMP06
GC.EN,NMOS,GC,ECmin,1.2,,ERMN06
CO.W1,CO,,Wmin,1.0,,ER0020
CO.S1,CO,CO,Smin,1.0,,ER0044
CO.WD,CO(D),,Wfix,1.2,,ERDP05/ERDN05
CO.AD,CO(D),AP+AN,Emin,1.2,,ERDP24/ERDN23
CO.AP,CO,AP,Emin,0.8,,ERMP10
CO.AN,CO,AN,Emin,0.8,,ERMN11
CO.PG,CO,GC(G),Smin,1.0,,ERMP12/ERMN12
CO.GC,CO,GC+GR,Emin,0.8,,ER0050
#,AR/GR related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
AR.W1,RR,RR(L),Wmin/max,2.8,20.0,Table I-2-1
AR.L1,RR,RR(W),Lmin/max,13.0,100.0,Table I-2-1
AR.GC,GC,AR,Smin,1.0,,ERRR15
AR.PW,GC(R),,Wmin,2.0,,ERRR06
AR.XY,AR,Bevel,XYmin,1.0,,
GC.AN,GC(R),AN,Smin,???,???,
GC.R1,AR,GC(R),Donut,0.0,,
GC.R2,GC(R),WN(R),TieDown,0.0,,
GR.W1,RS,RS(L),Wmin/max,4.0,20.0,Table I-2-1
GR.L1,RS,RS(W),Lmin/max,20.0,100.0,Table I-2-1
GR.S1,RS,RS,Smin,2.0,,ERRS04
CR.W1,CO(RR),,Wmin,1.0,,
CR.W2,CL(RR),,Wmin/max,1.0,97.5,CO(L)
CR.AT,CO(RR),AR(T),Emin,1.5,,
CR.AS,CO(RR),AR(S),Emin,1.0,,
CC.W1,CO(C),,Wmin,1.2,,ERCSIO01
CC.S1,CO(C),CO(C),Smin,1.2,,ERCSIO14
CC.AC,CO(C),AC,Emin,2.9,,ERCSIO03
CC.AN,CO(C),AN,Emin,1.2,,ERCSIO02
#,BEOL related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
M1.W1,M1,,Wmin,1.8,,ER0021
